epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,37.0365,1.1567,1.55192,1.36044,0.62052,0.7,0.87291,0.62795,1.66148,1.13325,1.36991,1.68253e-05,1.68253e-05,1.68253e-05
19,39.0544,0.97843,1.90563,1.1355,0.77483,0.65,0.86188,0.61114,1.66856,1.17684,1.37892,1.7603e-05,1.7603e-05,1.7603e-05
20,40.9953,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66856,1.17684,1.37892,1.83571e-05,1.83571e-05,1.83571e-05
21,42.9594,1.29223,2.49851,1.71343,0.77119,0.65,0.85531,0.6099,1.68121,1.21214,1.38577,1.90876e-05,1.90876e-05,1.90876e-05
22,44.9387,1.08325,2.33907,1.51913,0.77119,0.65,0.85531,0.6099,1.68121,1.21214,1.38577,1.97946e-05,1.97946e-05,1.97946e-05
23,46.9502,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.68024,1.23186,1.38349,2.0478e-05,2.0478e-05,2.0478e-05
24,48.8877,1.12425,2.21394,1.54038,0.74589,0.65,0.85514,0.6192,1.68024,1.23186,1.38349,2.11379e-05,2.11379e-05,2.11379e-05
25,50.8608,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68066,1.27384,1.38322,2.17741e-05,2.17741e-05,2.17741e-05
26,52.9665,1.15282,1.85952,1.45066,0.71049,0.65473,0.85534,0.61104,1.68066,1.27384,1.38322,2.23869e-05,2.23869e-05,2.23869e-05
27,55.344,0.91843,1.67099,1.39784,0.70524,0.6685,0.85545,0.61336,1.70155,1.30249,1.39809,2.2976e-05,2.2976e-05,2.2976e-05
28,57.4789,0.80106,1.24172,1.14049,0.70524,0.6685,0.85545,0.61336,1.70155,1.30249,1.39809,2.35417e-05,2.35417e-05,2.35417e-05
29,59.7504,0.99737,1.52716,1.27177,0.70067,0.67248,0.85551,0.61082,1.67032,1.3097,1.37775,2.40837e-05,2.40837e-05,2.40837e-05
30,61.9529,1.26561,2.34977,1.59811,0.70067,0.67248,0.85551,0.61082,1.67032,1.3097,1.37775,2.46022e-05,2.46022e-05,2.46022e-05
31,64.2272,0.97959,1.43339,1.29407,0.69188,0.66667,0.85204,0.60885,1.68069,1.34643,1.3837,2.50971e-05,2.50971e-05,2.50971e-05
32,66.2733,0.81024,1.26022,1.21402,0.69188,0.66667,0.85204,0.60885,1.68069,1.34643,1.3837,2.55685e-05,2.55685e-05,2.55685e-05
33,68.364,0.78165,1.31853,1.34265,0.67238,0.68914,0.85241,0.60751,1.66617,1.37779,1.37979,2.60163e-05,2.60163e-05,2.60163e-05
34,70.321,1.05737,1.2516,1.31047,0.67238,0.68914,0.85241,0.60751,1.66617,1.37779,1.37979,2.64405e-05,2.64405e-05,2.64405e-05
35,72.3978,0.88716,2.16521,1.30328,0.66428,0.7,0.85262,0.59109,1.68116,1.41222,1.38794,2.68412e-05,2.68412e-05,2.68412e-05
36,74.558,0.96218,1.47733,1.20111,0.66428,0.7,0.85262,0.59109,1.68116,1.41222,1.38794,2.72183e-05,2.72183e-05,2.72183e-05
37,76.7326,0.78396,1.1146,1.17306,0.64698,0.7,0.8524,0.5836,1.64937,1.44751,1.37011,2.75718e-05,2.75718e-05,2.75718e-05
38,78.9093,0.45788,0.70339,0.96922,0.64698,0.7,0.8524,0.5836,1.64937,1.44751,1.37011,2.79018e-05,2.79018e-05,2.79018e-05
39,81.1294,0.64685,0.93532,1.0205,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.82082e-05,2.82082e-05,2.82082e-05
40,83.2498,0.80203,0.83737,1.16673,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.84911e-05,2.84911e-05,2.84911e-05
41,85.3811,0.75765,0.92574,1.06114,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.87504e-05,2.87504e-05,2.87504e-05
42,87.4029,0.88003,1.88283,1.2773,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.89861e-05,2.89861e-05,2.89861e-05
43,89.4731,0.84655,1.22147,1.22837,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.91983e-05,2.91983e-05,2.91983e-05
44,91.6304,1.07497,0.98523,1.4513,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.93869e-05,2.93869e-05,2.93869e-05
45,93.8903,0.61284,0.92502,0.99461,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.9552e-05,2.9552e-05,2.9552e-05
46,96.2575,0.81888,0.9971,1.26848,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.96935e-05,2.96935e-05,2.96935e-05
47,98.4434,0.8852,1.46209,1.36107,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.98114e-05,2.98114e-05,2.98114e-05
48,100.681,0.78689,1.63244,1.172,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.99058e-05,2.99058e-05,2.99058e-05
49,102.953,0.67312,0.72239,1.24557,0.68326,0.65151,0.70529,0.41424,1.62426,1.62157,1.3881,2.99766e-05,2.99766e-05,2.99766e-05
50,105.183,0.80277,0.81115,1.29448,0.68326,0.65151,0.70529,0.41424,1.62426,1.62157,1.3881,3.00238e-05,3.00238e-05,3.00238e-05
51,107.418,0.85909,0.83735,1.15605,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00475e-05,3.00475e-05,3.00475e-05
52,109.681,0.97432,0.96779,1.34781,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00476e-05,3.00476e-05,3.00476e-05
53,111.67,0.64637,0.70011,1.17845,0.65652,0.67662,0.69629,0.40609,1.59282,1.63413,1.38104,3.00242e-05,3.00242e-05,3.00242e-05
54,113.664,0.78506,0.90186,1.23276,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.99772e-05,2.99772e-05,2.99772e-05
55,115.621,0.80042,0.952,1.1211,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.99066e-05,2.99066e-05,2.99066e-05
56,117.644,1.09858,1.44532,1.5875,0.69056,0.67146,0.69636,0.4082,1.57802,1.67501,1.38152,2.98125e-05,2.98125e-05,2.98125e-05
57,119.625,0.94346,1.50051,1.37401,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.96948e-05,2.96948e-05,2.96948e-05
58,121.605,0.8647,1.45461,1.26652,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.95535e-05,2.95535e-05,2.95535e-05
59,123.579,0.78121,0.82735,1.15363,0.72331,0.50202,0.69284,0.40375,1.58563,1.70661,1.39137,2.93887e-05,2.93887e-05,2.93887e-05
60,125.744,0.99688,0.77734,1.54581,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.92003e-05,2.92003e-05,2.92003e-05
61,127.931,0.63481,0.68085,1.06328,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.89884e-05,2.89884e-05,2.89884e-05
62,130.194,0.70049,0.89376,1.04554,0.8556,0.48119,0.67795,0.37421,1.61091,1.77381,1.40808,2.87529e-05,2.87529e-05,2.87529e-05
63,132.506,0.76907,0.8233,1.15358,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.84938e-05,2.84938e-05,2.84938e-05
64,135.197,0.62619,0.65291,1.06695,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.82112e-05,2.82112e-05,2.82112e-05
65,137.511,0.6611,0.68231,1.21624,0.85528,0.47856,0.67726,0.37372,1.64138,1.85313,1.42522,2.7905e-05,2.7905e-05,2.7905e-05
66,139.685,0.68436,0.91555,1.08119,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.75753e-05,2.75753e-05,2.75753e-05
67,141.874,0.73665,1.10931,1.10186,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.7222e-05,2.7222e-05,2.7222e-05
68,143.998,1.04242,1.77333,1.40555,0.85193,0.47748,0.67714,0.37589,1.70555,1.911,1.44669,2.68451e-05,2.68451e-05,2.68451e-05
69,146.445,0.64229,1.09554,1.12532,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.64447e-05,2.64447e-05,2.64447e-05
70,148.517,0.97702,0.86595,1.429,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.60207e-05,2.60207e-05,2.60207e-05
71,150.807,0.94809,1.28824,1.31602,0.84142,0.4864,0.56788,0.28283,1.65438,1.9519,1.4199,2.55731e-05,2.55731e-05,2.55731e-05
72,153.235,0.59403,0.63781,1.07473,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.5102e-05,2.5102e-05,2.5102e-05
73,155.612,0.68672,0.90519,1.04376,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.46073e-05,2.46073e-05,2.46073e-05
74,157.864,0.72458,0.5937,1.21903,0.84034,0.4854,0.54131,0.27389,1.7231,2.00047,1.44457,2.40891e-05,2.40891e-05,2.40891e-05
75,160.076,0.72864,0.55266,1.14087,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.35472e-05,2.35472e-05,2.35472e-05
76,162.126,0.63407,0.73321,1.12757,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.29819e-05,2.29819e-05,2.29819e-05
77,164.232,0.68076,0.6588,1.11161,0.84021,0.48259,0.54721,0.26849,1.7739,1.99385,1.46452,2.23929e-05,2.23929e-05,2.23929e-05
78,166.545,0.87349,1.00215,1.18445,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.17805e-05,2.17805e-05,2.17805e-05
79,168.885,0.58984,0.74871,1.08421,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.11444e-05,2.11444e-05,2.11444e-05
80,171.185,0.72172,0.7228,1.18054,0.83366,0.48817,0.5442,0.26805,1.73727,2.01263,1.44804,2.04848e-05,2.04848e-05,2.04848e-05
81,173.271,0.51218,0.50361,0.97371,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.98016e-05,1.98016e-05,1.98016e-05
82,175.209,0.80743,0.67147,1.1431,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.90949e-05,1.90949e-05,1.90949e-05
83,177.16,0.76667,0.82215,1.19695,0.84247,0.48005,0.53436,0.26405,1.77519,2.05535,1.4753,1.83646e-05,1.83646e-05,1.83646e-05
84,179.107,0.78339,0.56569,1.20382,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.76107e-05,1.76107e-05,1.76107e-05
85,181.18,0.56568,0.72736,1.10834,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.68333e-05,1.68333e-05,1.68333e-05
86,183.189,0.73573,0.66176,1.10111,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.60323e-05,1.60323e-05,1.60323e-05
87,185.194,0.75004,0.79184,1.04975,0.84074,0.48418,0.53726,0.26773,1.82491,2.08433,1.50195,1.52077e-05,1.52077e-05,1.52077e-05
88,187.25,0.78955,0.85709,1.37928,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.43596e-05,1.43596e-05,1.43596e-05
89,189.315,0.99023,0.92347,1.47941,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.34879e-05,1.34879e-05,1.34879e-05
90,191.374,0.64881,0.64183,1.01081,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.25927e-05,1.25927e-05,1.25927e-05
91,193.434,0.45939,0.52077,0.8899,0.8394,0.48346,0.5343,0.28426,1.83267,2.07474,1.50351,1.16739e-05,1.16739e-05,1.16739e-05
92,195.531,0.71376,0.69858,0.9943,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,1.07315e-05,1.07315e-05,1.07315e-05
93,197.68,0.4771,0.45792,0.98673,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,9.76562e-06,9.76562e-06,9.76562e-06
94,199.747,0.55047,0.43478,0.88748,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,8.77613e-06,8.77613e-06,8.77613e-06
95,201.779,0.43529,0.45198,0.89775,0.83643,0.48471,0.53533,0.27787,1.8353,2.02826,1.48806,7.76308e-06,7.76308e-06,7.76308e-06
96,204.058,0.43919,0.50733,0.9614,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,6.72648e-06,6.72648e-06,6.72648e-06
97,206.085,0.68953,0.6047,1.04758,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,5.6663e-06,5.6663e-06,5.6663e-06
98,208.227,0.51757,0.48358,0.90883,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,4.58257e-06,4.58257e-06,4.58257e-06
99,210.366,0.47591,0.46399,0.90897,0.84125,0.46609,0.55784,0.3054,1.75444,1.955,1.4413,3.47528e-06,3.47528e-06,3.47528e-06
100,212.531,0.55755,0.492,1.00429,0.83619,0.46667,0.60765,0.33969,1.70789,1.87504,1.41277,2.34442e-06,2.34442e-06,2.34442e-06
